label,x,y,score,class,year,citations,title,doi
Norman H. Packard et al. (1980),6318.278,216.23,0.011,3,1980,3840,Geometry from a Time Series,10.1103/physrevlett.45.712
Christopher G. Atkeson et al. (1997),2825.383,-680.114,0.012,0,1997,1675,Locally Weighted Learning,10.1023/a:1006559212014
Henry D. I. Abarbanel et al. (1993),6693.319,244.557,0.04,3,1993,1837,The analysis of observed chaotic data in physical systems,10.1103/revmodphys.65.1331
Timothy Sauer et al. (1991),6585.362,222.926,0.001,3,1991,1971,Embedology,10.1007/bf01053745
Matthew B. Kennel et al. (1992),6680.692,638.069,0,3,1992,3696,Determining embedding dimension for phase-space reconstruction using a geometrical construction,10.1103/physreva.45.3403
Jean‐Pierre Eckmann & David Ruelle (1985),6741.975,329.784,0.004,3,1985,4841,Ergodic theory of chaos and strange attractors,10.1103/revmodphys.57.617
Ya. B. Pesin (1977),7154.802,417.566,0,3,1977,1406,CHARACTERISTIC LYAPUNOV EXPONENTS AND SMOOTH ERGODIC THEORY,10.1070/rm1977v032n04abeh001639
Robert M. May (1972),8888.729,2630.518,0.005,3,1972,2899,Will a Large Complex System be Stable?,10.1038/238413a0
Martin A. Nowak & Robert M. May (1992),8151.528,3295.732,0.042,3,1992,4398,Evolutionary games and spatial chaos,10.1038/359826a0
Marten Scheffer et al. (2009),8968.085,2415.833,0.002,3,2009,4463,Early-warning signals for critical transitions,10.1038/nature08227
Harrison Hong & Jeremy C. Stein (2003),11172.353,2339.351,0,3,2003,1366,"Differences of Opinion, Short-Sales Constraints, and Market Crashes",10.1093/rfs/hhg006
Gurdip Bakshi et al. (1997),11340.438,2337.404,0,3,1997,2687,Empirical Performance of Alternative Option Pricing Models,10.1111/j.1540-6261.1997.tb02749.x
Anil Kashyap et al. (2002),11565.944,2313.432,0,3,2002,1425,Banks as Liquidity Providers: An Explanation for the Coexistence of Lending and Deposit‐taking,10.1111/1540-6261.00415
Jeremy C. Stein (1988),11591.11,2318.081,0,3,1988,1704,Takeover Threats and Managerial Myopia,10.1086/261524
David Scharfstein & Jeremy C. Stein (1988),11576.676,2324.176,0,3,1988,2793,Herd Behavior and Investment,
Cornelis J. Stam (2005),6586.473,1592.067,0.021,3,2005,1393,Nonlinear dynamical analysis of EEG and MEG: Review of an emerging field,10.1016/j.clinph.2005.06.011
Rainer Hegger et al. (1999),6083.089,178.387,0.006,3,1999,1470,Practical implementation of nonlinear time series methods: The <scp>TISEAN</scp> package,10.1063/1.166424
Michael T. Rosenstein et al. (1993),6146.766,67.369,0.005,3,1993,3377,A practical method for calculating largest Lyapunov exponents from small data sets,10.1016/0167-2789(93)90009-p
J. C. Dunn (1973),4254.845,-1065.827,0.001,1,1973,6481,A Fuzzy Relative of the ISODATA Process and Its Use in Detecting Compact Well-Separated Clusters,10.1080/01969727308546046
M.N. Ahmed et al. (2002),3336.996,1886.749,0,1,2002,1782,A modified fuzzy c-means algorithm for bias field estimation and segmentation of MRI data,10.1109/42.996338
William Humphrey et al. (1996),2946.003,-6941.167,0.002,1,1996,64246,VMD: Visual molecular dynamics,10.1016/0263-7855(96)00018-5
Henrique S. Hippert et al. (2001),2950.324,-237.819,0,0,2001,2167,Neural networks for short-term load forecasting: a review and evaluation,10.1109/59.910780
German I. Parisi et al. (2019),-1071.323,868.504,0.056,0,2019,2869,Continual lifelong learning with neural networks: A review,10.1016/j.neunet.2019.01.012
Paul J. Werbos (1990),-773.645,2627.463,0,0,1990,4837,Backpropagation through time: what it does and how to do it,10.1109/5.58337
Michael C. Mackey & Leon Glass (1977),5476.187,590.947,0.001,3,1977,4053,Oscillation and Chaos in Physiological Control Systems,10.1126/science.267326
Ronald J. Williams & David Zipser (1989),-479.508,2491.065,0.003,0,1989,4389,A Learning Algorithm for Continually Running Fully Recurrent Neural Networks,10.1162/neco.1989.1.2.270
Johan Wessberg et al. (2000),3281.073,3110.933,0.005,3,2000,1489,Real-time prediction of hand trajectory by ensembles of cortical neurons in primates,10.1038/35042582
Julius S. Bendat et al. (1989),4185.97,3907.432,0.002,3,1989,6402,Random Data-Analysis and Measurement Procedures,10.1115/1.3269865
Allan D. Pierce & H. Saunders (1984),4491.344,4173.146,0,3,1984,2252,Acoustics: An Introduction to Its Physical Principles and Applications,10.1115/1.3269197
Rafał Józefowicz et al. (2015),-4312.458,3292.892,0.004,0,2015,1402,An Empirical Exploration of Recurrent Network Architectures,
Auke Jan Ijspeert et al. (2012),3814.228,269.034,0,0,2012,1543,Dynamical Movement Primitives: Learning Attractor Models for Motor Behaviors,10.1162/neco_a_00393
Lennert Appeltant et al. (2011),2117.789,1757.013,0,0,2011,1609,Information processing using a single dynamical node as complex system,10.1038/ncomms1476
Wolfgang Maass et al. (2002),1901.717,2012.506,0.001,0,2002,3910,Real-Time Computing Without Stable States: A New Framework for Neural Computation Based on Perturbations,10.1162/089976602760407955
Earl K. Miller (2000),3596.146,6201.4,0.011,3,2000,2016,The prefontral cortex and cognitive control,10.1038/35036228
Julian F. Thayer et al. (2009),4494.161,7710.696,0.003,3,2009,1783,"Heart Rate Variability, Prefrontal Neural Function, and Cognitive Performance: The Neurovisceral Integration Perspective on Self-regulation, Adaptation, and Health",10.1007/s12160-009-9101-z
J. F. Brosschot et al. (2006),4696.396,8164.38,0,3,2006,1570,"The perseverative cognition hypothesis: A review of worry, prolonged stress-related physiological activation, and health",10.1016/j.jpsychores.2005.06.074
Julian F. Thayer & Richard D. Lane (2000),4743.042,7854.964,0.002,3,2000,2879,A model of neurovisceral integration in emotion regulation and dysregulation,10.1016/s0165-0327(00)00338-4
Stephen W. Porges (2006),4825.766,8248.32,0,3,2006,3224,The polyvagal perspective,10.1016/j.biopsycho.2006.06.009
Gouhei Tanaka et al. (2019),1449.242,2838.198,0,0,2019,1931,Recent advances in physical reservoir computing: A review,10.1016/j.neunet.2019.03.005
Valerio Mante et al. (2013),1357.911,4356.628,0.003,0,2013,1977,Context-dependent computation by recurrent dynamics in prefrontal cortex,10.1038/nature12742
Angela J. Yu & Peter Dayan (2005),2391.979,4670,0.007,3,2005,1821,"Uncertainty, Neuromodulation, and Attention",10.1016/j.neuron.2005.04.026
Unknown (2004),1962.48,554.492,0,0,2004,6524,"Information theory, inference, and learning algorithms",10.5860/choice.41-5949
G. A. Rummery (1994),404.558,2980.211,0,0,1994,1497,On-line Q-learning Using Connectionist Systems,
Karl Friston et al. (1994),2113.868,6906.369,0.009,3,1994,1940,Assessing the significance of focal activations using their spatial extent,10.1002/hbm.460010306
Klaas Ε. Stephan et al. (2009),1881.248,5768.569,0.011,3,2009,1497,Bayesian model selection for group studies,10.1016/j.neuroimage.2009.03.025
David J. Foster & Matthew A. Wilson (2006),1240.579,4223.174,0.006,0,2006,1774,Reverse replay of behavioural sequences in hippocampal place cells during the awake state,10.1038/nature04587
Thomas E. Nichols et al. (2005),2353.541,6554.747,0.039,3,2005,1920,Valid conjunction inference with the minimum statistic,10.1016/j.neuroimage.2004.12.005
Alex M. Andrew (2004),2574.465,1133.477,0,0,2004,5003,"Information Theory, Inference, and Learning Algorithms",10.1108/03684920410534506
Matthew Brett (2002),3179.476,5941.667,0,3,2002,2165,Region of interest analysis using an SPM toolbox,
Nathaniel D. Daw et al. (2006),2486.934,5387.393,0.008,3,2006,2312,Cortical substrates for exploratory decisions in humans,10.1038/nature04766
Eyal Ophir et al. (2009),2709.052,5783.007,0,3,2009,1665,Cognitive control in media multitaskers,10.1073/pnas.0903620106
Nathaniel D. Daw et al. (2005),2471.461,5210.765,0.025,3,2005,2607,Uncertainty-based competition between prefrontal and dorsolateral striatal systems for behavioral control,10.1038/nn1560
Peter Dayan & L. F. Abbott (2001),1574.836,4659.168,0.005,3,2001,3302,Theoretical Neuroscience: Computational and Mathematical Modeling of Neural Systems,
Lucian Buşoniu et al. (2008),2472.868,2927.493,0.005,0,2008,2135,A Comprehensive Survey of Multiagent Reinforcement Learning,10.1109/tsmcc.2007.913919
Christopher J. Watkins & Peter Dayan (1992),2007.123,3845.875,0.015,0,1992,3631,Technical Note: Q-Learning,10.1023/a:1022676722315
Leslie Pack Kaelbling et al. (1996),2237.999,1981.721,0.015,0,1996,8681,Reinforcement Learning: A Survey,10.1613/jair.301
Christopher J. Watkins & Peter Dayan (1992),1592.579,3515.988,0.014,0,1992,8894,Q-learning,10.1007/bf00992698
Richard S. Sutton (1988),1132.115,3692.299,0.012,0,1988,2771,Learning to predict by the methods of temporal differences,10.1007/bf00115009
Richard S. Sutton et al. (1999),983.902,2969.912,0.01,0,1999,3064,Between MDPs and semi-MDPs: A framework for temporal abstraction in reinforcement learning,10.1016/s0004-3702(99)00052-1
Richard S. Sutton (1988),822.164,3514.88,0.008,0,1988,3896,Learning to Predict by the Methods of Temporal Differences,10.1023/a:1022633531479
Richard S. Sutton & Andy Barto (1998),655.021,3005.872,0.005,0,1998,26760,Reinforcement Learning: An Introduction,10.1109/tnn.1998.712192
Tom Dietterich (2000),1360.545,2306.1,0.006,0,2000,1419,Hierarchical Reinforcement Learning with the MAXQ Value Function Decomposition,10.1613/jair.639
Frank L. Lewis & Draguna Vrabie (2009),2231.366,2901.784,0.005,0,2009,1504,Reinforcement learning and adaptive dynamic programming for feedback control,10.1109/mcas.2009.933854
Matthew E. Taylor & Peter Stone (2009),584.024,1981.296,0.005,0,2009,1561,Transfer Learning for Reinforcement Learning Domains: A Survey,10.5555/1577069.1755839
John Schulman et al. (2015),-265.628,2136.382,0.038,0,2015,1745,High-Dimensional Continuous Control Using Generalized Advantage Estimation,10.48550/arxiv.1506.02438
Ziyu Wang et al. (2015),-1456.167,2942.669,0.016,0,2015,1813,Dueling Network Architectures for Deep Reinforcement Learning,10.48550/arxiv.1511.06581
Marco Dorigo et al. (1999),6297.103,891.03,0.009,2,1999,2804,Ant Algorithms for Discrete Optimization,10.1162/106454699568728
Graham Clarke & J. W. Wright (1964),7532.256,1210.164,0,2,1964,3799,Scheduling of Vehicles from a Central Depot to a Number of Delivery Points,10.1287/opre.12.4.568
René de Koster et al. (null),7959.959,1288.153,0,2,0,1884,Design and Control of Warehouse Order Picking: a literature review,
Hado van Hasselt et al. (2016),-1478.152,3500.453,0.002,0,2016,3514,Deep Reinforcement Learning with Double Q-Learning,10.1609/aaai.v30i1.10295
Sotiris Kotsiantis (2007),2140.828,-721.866,0.003,1,2007,4143,Supervised Machine Learning: A Review of Classification Techniques,
Peter Clark & Tim Niblett (1989),3272.004,-304.456,0,1,1989,2009,The CN2 Induction Algorithm,10.1023/a:1022641700528
Richard S. Sutton et al. (1999),-950.19,2745.254,0.007,0,1999,4951,Policy Gradient Methods for Reinforcement Learning with Function Approximation,
Peter Auer et al. (2002),1388.873,1792.782,0.002,0,2002,5698,Finite-time Analysis of the Multiarmed Bandit Problem,10.1023/a:1013689704352
Daniel M. Wolpert et al. (2011),3295.094,3170.865,0.014,3,2011,1365,Principles of sensorimotor learning,10.1038/nrn3112
Shahryar Rahnamayan et al. (2008),6452.06,223.149,0.003,2,2008,1579,Opposition-Based Differential Evolution,10.1109/tevc.2007.894200
Christopher D. Fiorillo et al. (2003),2955.864,4229.209,0.003,3,2003,2085,Discrete Coding of Reward Probability and Uncertainty by Dopamine Neurons,10.1126/science.1077349
Pieter-Tjerk de Boer et al. (2005),1897.814,1380.078,0.001,0,2005,2965,A Tutorial on the Cross-Entropy Method,10.1007/s10479-005-5724-z
Jens Kober et al. (2013),622.779,1255.144,0.082,0,2013,2985,Reinforcement learning in robotics: A survey,10.1177/0278364913495721
Wolfram Schultz et al. (1997),2685.803,5106.989,0.062,3,1997,9452,A Neural Substrate of Prediction and Reward,10.1126/science.275.5306.1593
Geoffrey M. Boynton et al. (1996),1988.127,5800.083,0.084,3,1996,2357,Linear Systems Analysis of Functional Magnetic Resonance Imaging in Human V1,10.1523/jneurosci.16-13-04207.1996
Bruce Fischl et al. (1999),1392.108,7429.881,0.17,3,1999,3285,High-resolution intersubject averaging and a coordinate system for the cortical surface,10.1002/(sici)1097-0193(1999)8:4<272::aid-hbm10>3.0.co;2-4
N. I. Fisher et al. (1984),6014.703,-960.855,0.003,1,1984,2013,Graphical Methods for Data Analysis.,10.2307/2531418
Roger P. Woods et al. (1992),1550.162,5692.468,0.013,3,1992,1932,Rapid Automated Algorithm for Aligning and Reslicing PET Images,10.1097/00004728-199207000-00024
António R. Damásio (1994),5085.761,5850.595,0.019,3,1994,9494,"Descarte's error : emotion, reason, and the human brain",
Xiao Han et al. (2006),1310.323,7042.393,0.019,3,2006,1501,"Reliability of MRI-derived measurements of human cerebral cortical thickness: The effects of field strength, scanner upgrade and manufacturer",10.1016/j.neuroimage.2006.02.051
Bruce Fischl et al. (2001),1334.741,7541.769,0.002,3,2001,1795,Automated manifold surgery: constructing geometrically accurate and topologically correct models of the human cerebral cortex,10.1109/42.906426
Anders M. Dale (1999),1665.901,7202.201,0.015,3,1999,1795,Optimal experimental design for event-related fMRI,10.1002/(sici)1097-0193(1999)8:2/3<109::aid-hbm7>3.0.co;2-w
Anders M. Dale & Martin I. Sereno (1993),1616.636,7154.559,0.011,3,1993,2035,Improved Localizadon of Cortical Activity by Combining EEG and MEG with MRI Cortical Surface Reconstruction: A Linear Approach,10.1162/jocn.1993.5.2.162
Bruce Fischl et al. (2004),1340.662,7210.777,0.005,3,2004,2155,Sequence-independent segmentation of magnetic resonance images,10.1016/j.neuroimage.2004.07.016
Florent Ségonne et al. (2004),1380.101,7123.252,0.004,3,2004,2235,A hybrid approach to the skull stripping problem in MRI,10.1016/j.neuroimage.2004.03.032
Martin I. Sereno et al. (1995),1193.702,7032.907,0.061,3,1995,2750,Borders of Multiple Visual Areas in Humans Revealed by Functional Magnetic Resonance Imaging,10.1126/science.7754376
Christophe Destrieux et al. (2010),1555.518,7394.953,0.002,3,2010,3045,Automatic parcellation of human cortical gyri and sulci using standard anatomical nomenclature,10.1016/j.neuroimage.2010.06.010
Bruce Fischl & Anders M. Dale (2000),972.649,6166.896,0.004,3,2000,5939,Measuring the thickness of the human cerebral cortex from magnetic resonance images,10.1073/pnas.200033797
Bruce Fischl et al. (1999),1487.139,7335.488,0.005,3,1999,6343,Cortical Surface-Based Analysis,10.1006/nimg.1998.0396
Bruce Fischl et al. (2002),1098.582,6497.666,0.013,3,2002,8859,Whole Brain Segmentation,10.1016/s0896-6273(02)00569-x
Anders M. Dale et al. (1999),1200.86,6644.654,0.066,3,1999,11278,Cortical Surface-Based Analysis,10.1006/nimg.1998.0395
Rahul S. Desikan et al. (2006),1672.114,7273.267,0.004,3,2006,13664,An automated labeling system for subdividing the human cerebral cortex on MRI scans into gyral based regions of interest,10.1016/j.neuroimage.2006.01.021
John P. O’Doherty et al. (2003),2221.798,6104.425,0.029,3,2003,1524,Temporal Difference Models and Reward-Related Learning in the Human Brain,10.1016/s0896-6273(03)00169-7
Kent Berridge & Terry E. Robinson (2003),4077.548,5641.479,0.001,3,2003,1768,Parsing reward,10.1016/s0166-2236(03)00233-9
Glenn W. Harrison & John A. List (2004),7394.75,1700.941,0,1,2004,2031,Field Experiments,10.1257/0022051043004577
Antoine Bechara (2005),5291.604,6735.314,0.001,3,2005,2089,"Decision making, impulse control and loss of willpower to resist drugs: a neurocognitive perspective",10.1038/nn1584
Daniel Kahneman et al. (1985),6171.745,5869.364,0,3,1985,1367,Judgement under Uncertainty: Heuristics and Biases,
Paul Slovic (1993),6801.357,6085.54,0,3,1993,1851,"Perceived Risk, Trust, and Democracy",10.1111/j.1539-6924.1993.tb01329.x
Itamar Simonson & Amos Tversky (1992),6388.404,5905.597,0.005,3,1992,1402,Choice in Context: Tradeoff Contrast and Extremeness Aversion,10.2307/3172740
Daniel Kahneman & Amos Tversky (1982),5722.218,5700.39,0.013,3,1982,1466,The simulation heuristic,10.1017/cbo9780511809477.015
Amos Tversky & Daniel Kahneman (1978),5903.747,5762.703,0.008,3,1978,2075,Judgment under Uncertainty: Heuristics and Biases,10.1016/b978-0-12-214850-7.50008-5
Amos Tversky & Daniel Kahneman (1982),6033.614,5852.308,0.009,3,1982,3659,Judgment under uncertainty: Heuristics and biases,10.1017/cbo9780511809477.002
Jonathan St. B. T. Evans (2003),6474.284,5838.726,0,3,2003,2191,In two minds: dual-process accounts of reasoning,10.1016/j.tics.2003.08.012
Amos Tversky (1977),3979.846,3811.246,0.032,3,1977,7226,Features of similarity.,10.1037/0033-295x.84.4.327
Paul Slovic & Sarah Lichtenstein (1971),7041.678,5514.104,0.024,3,1971,1838,Comparison of Bayesian and regression approaches to the study of information processing in judgment,10.1016/0030-5073(71)90033-x
Amos Tversky & Daniel Kahneman (1973),5952.346,5523.523,0.1,3,1973,9770,Availability: A heuristic for judging frequency and probability,10.1016/0010-0285(73)90033-9
Dietram A. Scheufele (1999),6141.867,5802.24,0,3,1999,3186,Framing as a Theory of Media Effects,10.1111/j.1460-2466.1999.tb02784.x
Daniel Kahneman & Amos Tversky (1972),6185.004,5705.262,0.024,3,1972,4808,Subjective probability: A judgment of representativeness,10.1016/0010-0285(72)90016-3
Paul Slovic et al. (2006),6726.012,6179.768,0.008,3,2006,1388,The affect heuristic,10.1016/j.ejor.2005.04.006
Gerd Gigerenzer & Henry Brighton (2009),3658.865,1764.323,0.031,3,2009,1764,Homo Heuristicus: Why Biased Minds Make Better Inferences,10.1111/j.1756-8765.2008.01006.x
Joshua B. Tenenbaum et al. (2011),2386.083,2184.331,0.039,0,2011,1856,"How to Grow a Mind: Statistics, Structure, and Abstraction",10.1126/science.1192788
Daniel W. Grupe & Jack B. Nitschke (2013),5146.086,6243.109,0,3,2013,1875,Uncertainty and anticipation in anxiety: an integrated neurobiological and psychological perspective,10.1038/nrn3524
Icek Ajzen & Martin Fishbein (2000),7441.66,7002.63,0.051,3,2000,1890,Attitudes and the Attitude-Behavior Relation: Reasoned and Automatic Processes,10.1080/14792779943000116
Gerd Gigerenzer & Ulrich Hoffrage (1995),5301.42,3903.921,0.008,3,1995,2046,How to improve Bayesian reasoning without instruction: Frequency formats.,10.1037/0033-295x.102.4.684
Lowell W. Busenitz & Jay B. Barney (1997),8947.766,5795.673,0.008,3,1997,2581,Differences between entrepreneurs and managers in large organizations: Biases and heuristics in strategic decision-making,10.1016/s0883-9026(96)00003-1
Melissa L. Finucane et al. (2000),6661.912,6113.711,0.005,3,2000,2771,The affect heuristic in judgments of risks and benefits,10.1002/(sici)1099-0771(200001/03)13:1<1::aid-bdm333>3.0.co;2-s
Jens Rasmussen (1997),7441.558,4405.99,0,3,1997,2831,Risk management in a dynamic society: a modelling problem,10.1016/s0925-7535(97)00052-0
Alan D. Swain & H.E. Guttmann (1983),7664.893,4535.611,0,3,1983,1439,Handbook of human-reliability analysis with emphasis on nuclear power plant applications. Final report,10.2172/5752058
Jonathon R. B. Halbesleben et al. (2014),9527.755,6037.183,0,3,2014,2852,Getting to the “COR”,10.1177/0149206314527130
Gerd Gigerenzer & Wolfgang Gaissmaier (2010),5306.334,3321.638,0.001,3,2010,3741,Heuristic Decision Making,10.1146/annurev-psych-120709-145346
Jafar Rezaei (2014),7948.147,2982.24,0,2,2014,3858,Best-worst multi-criteria decision-making method,10.1016/j.omega.2014.11.009
Lee Ross (1977),6962.539,5745.537,0.004,3,1977,4087,The Intuitive Psychologist And His Shortcomings: Distortions in the Attribution Process,10.1016/s0065-2601(08)60357-3
EDWARD E. JONES & Keith E. Davis (1965),6830.71,5914.789,0,3,1965,3387,From Acts To Dispositions The Attribution Process In Person Perception,10.1016/s0065-2601(08)60107-0
Daniel Kahneman (2003),5812.804,5835.235,0.266,3,2003,5424,A perspective on judgment and choice: Mapping bounded rationality.,10.1037/0003-066x.58.9.697
Viswanath Venkatesh (2000),8311.063,6577.113,0.018,3,2000,6314,"Determinants of Perceived Ease of Use: Integrating Control, Intrinsic Motivation, and Emotion into the Technology Acceptance Model",10.1287/isre.11.4.342.11872
Sandra G. Hart & Lowell E. Staveland (1988),5507.531,6003.397,0.002,3,1988,13815,Development of NASA-TLX (Task Load Index): Results of Empirical and Theoretical Research,10.1016/s0166-4115(08)62386-9
Laurence C. McGinn (1957),2622.573,5592.426,0,3,1957,7279,Nonparametric statistics for the behavioral sciences,10.1016/0016-0032(57)90766-4
Sandra G. Hart (2006),5676.722,6289.53,0,3,2006,3866,Nasa-Task Load Index (NASA-TLX); 20 Years Later,10.1177/154193120605000909
José M. Bernardo & A. F. M. Smith (1994),4366.166,-2570.53,0.001,1,1994,2111,Bayesian Theory,10.1002/9780470316870
David Mackay (1992),2337.256,-447.442,0,0,1992,4320,Bayesian Interpolation,10.1162/neco.1992.4.3.415
Unknown (2019),2858.993,-606.169,0.001,0,2019,2585,Introduction to Bayesian Networks,10.1002/9781119508557.ch12
Colin Goodall & Joe Whittaker (1991),3511.562,-1588.922,0,0,1991,1827,Graphical Models in Applied Multivariate Statistics,10.2307/1269424
Judea Pearl (1986),3479.757,461.658,0.005,1,1986,2139,"Fusion, propagation, and structuring in belief networks",10.1016/0004-3702(86)90072-x
David Mackay (1992),-173.524,562.588,0.006,0,1992,2880,A Practical Bayesian Framework for Backpropagation Networks,10.1162/neco.1992.4.3.448
Andreas Schröeder et al. (2006),715.318,211.781,0,0,2006,2632,The RIN: an RNA integrity number for assigning integrity values to RNA measurements,10.1186/1471-2199-7-3
Adrian E. Raftery (1995),5976.616,-2372.23,0.011,1,1995,6787,Bayesian Model Selection in Social Research,10.2307/271063
Donald B. Rubin (1978),6931.142,-1412.537,0.004,1,1978,2506,Bayesian Inference for Causal Effects: The Role of Randomization,10.1214/aos/1176344064
Judea Pearl (1995),5554.957,-839.784,0.031,1,1995,2270,Causal diagrams for empirical research,10.1093/biomet/82.4.669
Thomas J. DiCiccio et al. (1997),5746.856,-2805.124,0.015,1,1997,1967,Computing Bayes Factors by Combining Simulation and Asymptotic Approximations,10.1080/01621459.1997.10474045
Stuart Geman & Donald Geman (1984),1562.086,-700.241,0.067,0,1984,17859,"Stochastic Relaxation, Gibbs Distributions, and the Bayesian Restoration of Images",10.1109/tpami.1984.4767596
Julian Besag et al. (1991),2053.986,-606.129,0,0,1991,4170,"Bayesian image restoration, with two applications in spatial statistics",10.1007/bf00116466
Caifang Cai et al. (2014),2068.043,-610.458,0,0,2014,12188,Influence of partially known parameter on flaw characterization in Eddy Current Testing by using a random walk MCMC method based on metamodeling,10.1088/1742-6596/542/1/012009
Gregory F. Cooper (1990),3530.477,94.858,0,1,1990,1936,The computational complexity of probabilistic inference using bayesian belief networks,10.1016/0004-3702(90)90060-d
Steffen L. Lauritzen & David J. Spiegelhalter (1988),4066.718,193.217,0.063,1,1988,3927,Local Computations with Probabilities on Graphical Structures and Their Application to Expert Systems,10.1111/j.2517-6161.1988.tb01721.x
Amos Tversky & Daniel Kahneman (1975),6427.061,5218.053,0.305,3,1975,23074,Judgment under Uncertainty: Heuristics and Biases,10.1007/978-94-010-1834-0_8
Matthew J. Beal (2003),2305.873,361.58,0.022,0,2003,1731,Variational Algorithms for Approximate Bayesian Inference,
Sebastian Thrun et al. (2001),20.466,-3242.51,0.031,0,2001,1799,Robust Monte Carlo localization for mobile robots,10.1016/s0004-3702(01)00069-8
Adam A. Margolin et al. (2006),4506.145,-1068.79,0.001,1,2006,2385,ARACNE: An Algorithm for the Reconstruction of Gene Regulatory Networks in a Mammalian Cellular Context,10.7916/d8g15zbp
Kevin P. Murphy & Stuart Russell (2002),2480.158,-774.876,0.026,0,2002,2597,"Dynamic bayesian networks: representation, inference and learning",
Nir Friedman et al. (2000),4033.838,-1366.385,0.009,1,2000,3299,Using Bayesian Networks to Analyze Expression Data,10.1089/106652700750050961
David Heckerman et al. (1995),3666.469,69.43,0.006,1,1995,2032,Learning Bayesian networks: The combination of knowledge and statistical data,10.1007/bf00994016
David Heckerman et al. (1995),3440.744,-94.23,0.006,1,1995,3198,Learning Bayesian Networks: The Combination of Knowledge and Statistical Data,10.1023/a:1022623210503
John S. Breese et al. (2013),2950.698,1025.868,0,1,2013,1504,Empirical Analysis of Predictive Algorithms for Collaborative Filtering,
Andrew Y. Ng (2004),-861.198,1462.673,0.009,0,2004,1564,"Feature selection, <i>L</i><sub>1</sub> vs. <i>L</i><sub>2</sub> regularization, and rotational invariance",10.1145/1015330.1015435
Andrew I. Schein et al. (2002),1446.923,2674.474,0.001,1,2002,1708,Methods and metrics for cold-start recommendations,10.1145/564376.564421
Badrul Sarwar et al. (2000),2608.367,2198.685,0.002,1,2000,1829,Analysis of recommendation algorithms for e-commerce,10.1145/352871.352887
Cai-Nicolas Ziegler et al. (2005),2416.511,2620.805,0,1,2005,1849,Improving recommendation lists through topic diversification,10.1145/1060745.1060754
Glen Jeh & Jennifer Widom (2002),2555.38,1498.591,0,3,2002,1921,SimRank,10.1145/775047.775126
Mukund Deshpande & George Karypis (2004),1970.147,1961.831,0.002,1,2004,2176,Item-based top-<i>N</i>recommendation algorithms,10.1145/963770.963776
Steffen Rendle et al. (2010),-671.589,3444.52,0,0,2010,2595,Factorizing personalized Markov chains for next-basket recommendation,10.1145/1772690.1772773
Peter D. Turney & Patrick Pantel (2010),469.184,3241.061,0.25,0,2010,2846,From Frequency to Meaning: Vector Space Models of Semantics,10.1613/jair.2934
Robin Burke (2002),2661.5,1855.563,0,1,2002,3687,Hybrid Recommender Systems: Survey and Experiments,10.1023/a:1021240730564
Belur V. Dasarathy (1991),2224.832,420.858,0,1,1991,1650,Nearest neighbor (NN) norms: NN pattern classification techniques,
Jie Lü et al. (2015),2780.901,2453.986,0,1,2015,1531,Recommender system application developments: A survey,10.1016/j.dss.2015.03.008
F. Maxwell Harper & Joseph A. Konstan (2015),1556.33,2427.111,0.002,1,2015,3697,The MovieLens Datasets,10.1145/2827872
Jonathan L. Herlocker et al. (2004),2370.066,2354.774,0.004,1,2004,5715,Evaluating collaborative filtering recommender systems,10.1145/963770.963772
David M. Blei et al. (2003),37.07,1681.261,0.213,0,2003,26925,Latent dirichlet allocation,10.5555/944919.944937
Badrul Sarwar et al. (2000),1889.364,2231.566,0.001,1,2000,1487,Application of Dimensionality Reduction in Recommender System - A Case Study,10.21236/ada439541
Christopher Meek et al. (2004),943.142,830.739,0,1,2004,1546,Proceedings of the 20th conference on Uncertainty in artificial intelligence,
Abhinandan Das et al. (2007),420.915,91.976,0.016,0,2007,1514,Google news personalization,10.1145/1242572.1242610
Xiaoyuan Su & Taghi M. Khoshgoftaar (2009),1037.578,1372.917,0.006,0,2009,3570,A Survey of Collaborative Filtering Techniques,10.1155/2009/421425
Yehuda Koren (2008),-435.054,2993.908,0.008,0,2008,3896,Factorization meets the neighborhood,10.1145/1401890.1401944
Steffen Rendle et al. (2012),-688.556,3288.079,0,0,2012,4339,BPR: Bayesian Personalized Ranking from Implicit Feedback,10.48550/arxiv.1205.2618
Stuart Andrews et al. (2002),-801.983,217.057,0.001,0,2002,1383,Support Vector Machines for Multiple-Instance Learning,
Thomas K. Landauer & Susan Dumais (1997),2380.375,3542.292,0.015,0,1997,6062,"A solution to Plato's problem: The latent semantic analysis theory of acquisition, induction, and representation of knowledge.",10.1037/0033-295x.104.2.211
Thomas Hofmann (2001),449.361,1651.276,0.004,0,2001,2454,Unsupervised Learning by Probabilistic Latent Semantic Analysis,10.1023/a:1007617005950
Thomas Hofmann (1999),40.277,2076.205,0.002,0,1999,3918,Probabilistic latent semantic indexing,10.1145/312624.312649
Simon Colton et al. (1999),-134.953,2297.079,0,0,1999,2492,Proceedings of the 16th international joint conference on Artificial Intelligence - IJCAI '99,
Jonathan Chang et al. (2009),606.85,2405.8,0.004,0,2009,1874,Reading Tea Leaves: How Humans Interpret Topic Models,
Xiaojin Zhu (2005),-1014.739,-96.258,0.017,0,2005,3868,Semi-Supervised Learning Literature Survey,
